b:tnow in s;m:u in p.u.
24.9;1.000156
24.92;1.000168
24.94;1.000168
24.96;1.000114
24.98;1.000072
25;1.000059
25.02;0.999993
25.04;0.999900
25.06;0.999951
25.08;1.000075
25.1;1.000089
25.12;1.000082
25.14;1.000154
25.16;1.000217
25.18;1.000210
25.2;1.000146
25.22;1.000068
25.24;1.000014
25.26;0.999982
25.28;0.999911
25.3;0.999825
25.32;0.999828
25.34;0.999909
25.36;0.999959
25.38;0.999965
25.4;1.000056
25.42;1.000189
25.44;1.000172
25.46;1.000069
25.48;1.000069
25.5;1.000056
25.52;0.999958
25.54;0.999955
25.56;0.999970
25.58;0.999927
25.6;0.999920
25.62;0.999922
25.64;0.999928
25.66;0.999941
25.68;1.000026
25.7;1.000156
25.72;1.000134
25.74;1.000065
25.76;1.000073
25.78;1.000036
25.8;0.999985
25.82;1.000026
25.84;1.000098
25.86;1.000111
25.88;1.000068
25.9;0.999984
25.92;0.999905
25.94;0.999925
25.96;1.000035
25.98;1.000098
26;1.000076
26.02;1.000082
26.04;1.000141
26.06;1.000154
26.08;1.000108
26.1;1.000063
26.12;1.000048
26.14;1.000058
26.16;1.000022
26.18;0.999962
26.2;0.999963
26.22;1.000028
26.24;1.000105
26.26;1.000157
26.28;1.000191
26.3;1.000140
26.32;0.999996
26.34;0.999938
26.36;1.000023
26.38;1.000111
26.4;1.000111
26.42;1.000068
26.44;1.000041
26.46;0.999984
26.48;0.999909
26.5;0.999924
26.52;1.000019
26.54;1.000130
26.56;1.000205
26.58;1.000184
26.6;1.000099
26.62;1.000079
26.64;1.000157
26.66;1.000184
26.68;1.000115
26.7;1.000088
26.72;1.000109
26.74;1.000058
26.76;0.999984
26.78;0.999999
26.8;1.000042
26.82;1.000063
26.84;1.000075
26.86;1.000011
26.88;0.999967
26.9;1.000041
26.92;1.000075
26.94;1.000029
26.96;1.000016
26.98;1.000049
27;1.000081
27.02;1.000066
27.04;0.999993
27.06;0.999968
27.08;1.000004
27.1;0.999972
27.12;0.999898
27.14;0.999908
27.16;0.999983
27.18;1.000008
27.2;0.999992
27.22;1.000035
27.24;1.000107
27.26;1.000121
27.28;1.000139
27.3;1.000122
27.32;1.000003
27.34;0.999945
27.36;0.999978
27.38;0.999983
27.4;0.999953
27.42;0.999960
27.44;0.999996
27.46;1.000008
27.48;1.000040
27.5;1.000083
27.52;1.000114
27.54;1.000159
27.56;1.000167
27.58;1.000120
27.6;1.000069
27.62;1.000034
27.64;1.000004
27.66;1.000014
27.68;1.000071
27.7;1.000105
27.72;1.000073
27.74;1.000087
27.76;1.000198
27.78;1.000247
27.8;1.000206
27.82;1.000149
27.84;1.000109
27.86;1.000126
27.88;1.000162
27.9;1.000182
27.92;1.000167
27.94;1.000133
27.96;1.000138
27.98;1.000146
28;1.000137
28.02;1.000165
28.04;1.000185
28.06;1.000164
28.08;1.000138
28.1;1.000078
28.12;1.000014
28.14;1.000069
28.16;1.000120
28.18;1.000072
28.2;1.000057
28.22;1.000123
28.24;1.000178
28.26;1.000131
28.28;1.000085
28.3;1.000107
28.32;1.000073
28.34;1.000024
28.36;1.000063
28.38;1.000100
28.4;1.000084
28.42;1.000052
28.44;1.000011
28.46;0.999976
28.48;0.999964
28.5;0.999987
28.52;1.000021
28.54;1.000024
28.56;1.000022
28.58;1.000043
28.6;1.000061
28.62;1.000079
28.64;1.000097
28.66;1.000080
28.68;1.000040
28.7;1.000047
28.72;1.000071
28.74;1.000049
28.76;1.000021
28.78;1.000025
28.8;1.000034
28.82;1.000038
28.84;1.000046
28.86;1.000028
28.88;1.000036
28.9;1.000080
28.92;1.000063
28.94;1.000019
28.96;0.999992
28.98;0.999977
29;0.999983
29.02;0.999982
29.04;0.999948
29.06;0.999960
29.08;1.000056
29.1;1.000119
29.12;1.000085
29.14;1.000016
29.16;0.999972
29.18;0.999946
29.2;0.999903
29.22;0.999873
29.24;0.999903
29.26;0.999940
29.28;0.999885
29.3;0.999820
29.32;0.999884
29.34;1.000009
29.36;1.000065
29.38;1.000044
29.4;1.000035
29.42;1.000078
29.44;1.000103
29.46;1.000093
29.48;1.000080
29.5;1.000049
29.52;0.999987
29.54;0.999921
29.56;0.999874
29.58;0.999912
29.6;1.000036
29.62;1.000113
29.64;1.000112
29.66;1.000135
29.68;1.000200
29.7;1.000222
29.72;1.000188
29.74;1.000196
29.76;1.000231
29.78;1.000214
29.8;1.000178
29.82;1.000128
29.84;1.000079
29.86;1.000075
29.88;1.000116
29.9;1.000130
29.92;1.000069
29.94;1.000006
29.96;1.000028
29.98;1.000086
30;1.000084
30.02;1.000080
30.04;1.000091
30.06;1.000047
30.08;1.000009
30.1;1.000000
30.12;1.000007
30.14;1.000040
30.16;1.000052
30.18;1.000101
30.2;1.000214
30.22;1.000253
30.24;1.000192
30.26;1.000131
30.28;1.000083
30.3;0.999975
30.32;0.999889
30.34;0.999930
30.36;1.000015
30.38;1.000076
30.4;1.000094
30.42;1.000057
30.44;1.000018
30.46;1.000052
30.48;1.000146
30.5;1.000195
30.52;1.000204
30.54;1.000242
30.56;1.000262
30.58;1.000189
30.6;1.000098
30.62;1.000089
30.64;1.000033
30.66;0.999923
30.68;0.999949
30.7;1.000021
30.72;1.000017
30.74;1.000068
30.76;1.000191
30.78;1.000250
30.8;1.000248
30.82;1.000267
30.84;1.000244
30.86;1.000167
30.88;1.000133
30.9;1.000136
30.92;1.000108
30.94;1.000039
30.96;0.999948
30.98;0.999900
31;0.999965
31.02;1.000042
